address,true_label,baseline_pred,ontology_exact_pred,ontology_super_pred
0x582b2489710a4189ad558b6958641789587fcc27,1,0,0,1
0xeb4245c88c660ae4ee23c76954e5490ccd7bbd82,1,0,0,1
0xc352add7ad8cac8baa839d8c88e7e9d7df9a219b,1,1,0,0
0xe8b55deaced913c5c6890331d2926ea0fcbe59ac,1,1,0,0
0x879716da78a75a44bdfa8f038ce875f99586940a,1,1,0,1
0x4e1833a4a67ed1c8cb0ffc541ab7291c02d2fd06,1,0,0,1
0xbef44157a4afbfcce76db29353b6c103a03ed803,1,0,0,1
0xe86c98c75450075d096580f843fcd67a858ffd5f,1,0,1,1
0x582e3d8dcd41f586fbcc6559f16476d20b2a3b95,1,0,1,1
0xf062783c821e2f5a1d3768a20d2c281d134e0c92,1,0,1,1
0xfc5de599c9fe4e5cf0744aef3139ae53aa30a566,1,0,1,1
0x2101ba900918345003585b0a17de91570609d706,1,0,1,1
0xc58492b3b14f658adff566c988029308505f81b5,1,1,0,0
0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,1,0,1,1
0x9a2e9235f7a7ac7b899e5f3208fbb13c6985171a,1,0,1,1
0x109c4f2ccc82c4d77bde15f306707320294aea3f,1,1,0,0
0x6846b938f9be9f1eeeb9bfd853636c805f8f54d3,1,0,0,1
0x6adf9e666e3e85876b1ba25edb31799faad8417b,1,1,0,1
0xc99b3615724b7c4d3e4b348cfc8a25b9e2133828,1,1,0,1
0x245233bc8604d2097bfcbf3338959c46da04d9e0,1,1,0,1
0x99925cc9a57f5e473ff22314cfe0627a0bfcceb4,1,1,0,1
0xcd6608b1291d4307652592c29bff7d51f1ad83d7,1,0,1,1
0x7d3ae940eb73dc9131758ad2e326c7d863b0916a,1,0,1,1
0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,1,1,0,0
0x9758da9b4d001ed2d0df46d25069edf53750767a,1,1,0,0
0x49c3019b7a83b3c77a823255533975969027308d,1,0,0,1
0xf1aa63ad7a897ca02cab6021513ee0a86820153e,1,0,0,1
0xa0f9fb2170dc2d181ef8aaf3571dc441813e0154,1,0,1,1
0x4398a4a10347d8f18029c07853a7a689eebbb925,1,0,1,1
0x7fcc7ed28c99f64f721be410ad816247925aade8,1,0,1,1
0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,1,0,1,1
0xf70ce1be9685b0cfb531bc712d3faace858b5bfb,1,0,1,1
0xb5aff01f3e820735fac9abb594dc9993cb9e5bd2,1,1,0,0
0x43e49c79172a1be3ebb4240da727c0da0fa5d233,1,0,1,1
0x99d982e49bcb5465a6b4c1e0ec4341c912d9ba42,1,1,0,0
0xe861ad00aed0f04b41c675ec1c1493d2ebcbe776,1,1,0,0
0x55d035ba1f4ae932cf98125b93d830d9858cd39f,1,0,1,1
0x89c2352cb600df56fe4bfb5882caadef3e96213f,1,1,0,1
0xa259e6bcade86c770cb5214c789ee107662831a6,1,0,1,1
0x5a437d94843541d5cb83221a4a4b253de30b97b7,1,0,1,1
0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,1,0,1,1
0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,1,0,1,1
